時間,【签售】 KARINA,【签售】 GISELLE,【签售】 WINTER,【签售】 NINGNING,【签售】前2000张 KARINA,【签售】前2000张 GISELLE,【签售】前2000张 WINTER,【签售】前2000张 NINGNING
2026-03-15 12:31:03,99996,99999,99986,99993,0,330,0,0
2026-03-15 14:00:46,99996,99999,99985,99993,0,327,0,0
2026-03-15 15:02:15,99995,99999,99985,99993,0,82,0,0
2026-03-15 15:57:06,99995,99999,99985,99993,0,281,0,0
2026-03-15 16:51:32,99995,99999,99985,99993,0,176,0,0
2026-03-15 19:19:16,99995,99999,99985,99993,0,95,0,0
2026-03-16 06:06:40,99994,99999,99945,99991,0,95,0,0
2026-03-16 10:38:07,99994,99999,99944,99991,0,1,0,0
2026-03-16 12:24:39,99994,99999,99944,99989,0,0,0,0
2026-03-16 13:04:47,99994,99999,99944,99956,0,0,0,0
2026-03-16 13:37:25,99994,99999,99924,99956,0,0,0,0
2026-03-16 14:48:13,99953,99995,99905,99947,0,0,0,0
2026-03-16 14:58:15,99907,99995,99905,99947,0,0,0,0
2026-03-16 15:08:17,99907,99999,99855,99947,0,0,0,0
2026-03-16 15:18:19,99906,99918,99855,99947,0,0,0,0
2026-03-16 15:28:21,99886,99841,99854,99947,0,0,0,0
